surname,caste,source_url,gothram,region,example_full_names
DAMERLA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DAMMALAPATI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DANAM,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DANDURTI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DANTU,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DARBHA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DARSI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DELHI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DESABHATLA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DESIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DEVARABHOTLA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DEVARAKONDA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DEVULAPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DEVULAPALLI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DHANTURTHI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DHARMAVARAM,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DHAVALA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DHURJATHI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DINAVAHI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DODDAVARAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DRONAMRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DRONAMRAJU,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DUBAGUNTA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DUGGARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DUGGIRALA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DURBHA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
DURGARAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
DWIVEDULA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
EDLAPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
EEDUPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
EMANI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
ENJETI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ERANKI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ERRANKI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
